Course Code,Course Name,L-T-P-S-C,Faculty
CS201,Discrete Mathematics,3-1-0-0-4,Dr. Animesh Roy
CS207,Object-Oriented Programming (OOP),3-0-2-0-4,Dr. Pramod
CS208,Computer Architecture,3-0-2-0-4,Dr. Prabhu Prasad B M
CS202,Design and Analysis of Algorithms (DAA),3-1-2-0-5,Dr. Malay; Dr. Vivek Raj
MA201,Probability,3-1-0-0-4,Dr. Anand P Barangi
HS206,Industrial Social Psychology,3-0-0-0-3,Dr. Navyashree
