Course Code,Course Name,L-T-P-S-C,Faculty
MA202,Linear Algebra,3-1-0-0-4,Dr. Lakshman
EC207,Electromagnetic Theory,3-1-0-0-4,Dr. Somen Bhattacharjee
EC206,Linear Integrated Circuits,3-0-2-0-4,Dr. Prakash Pawar
EC201,Signals and Systems,3-1-0-0-4,Dr. Sibasanakar Padhy
EC202,Microprocessors and Micro-controllers,3-0-2-0-4,Dr. Natraj
HS102,Professional Communication,2-1-0-0-3,Dr. Chandrika Kamath
