Course Code,Course Name,L-T-P-S-C,Faculty
Open elective(CS151/PH151/HS151),(Introduction to Cybersecurity/Introduction to Quantum Physics/Introduction to Personal Finance),3-1-0-0-2,(Dr. Srinivas KulKarni/Prof. Ravishankar/Dr. Siddharth R)
MA162,Probability,3-1-0-0-2,Dr. Lakshman
EC161,Digital Design,3-0-2-0-2,Dr. Jagadeesha R Bhat
CS161,Problem Solving through Programming,3-0-2-0-4,Dr. Sunil C K
HS161,English Language and Communication,3-0-0-0-3,Dr. Rajesh N S
ASD151,Introduction to Design,3-0-0-0-1,Dr. Sandesh S Phalke
