Branch,Semester,Course Code,Course Name,L-T-P-S-C,Faculty
dsai,7,Elective 2,Elective 2,3-1-0-0-4,['Dr. Animesh Chaturvedi']
dsai,7,Elective 3,Elective 3,3-1-0-0-4,['Dr. Shirshendu Layek']
dsai,7,Elective 4,Elective 4,3-1-0-0-4,['Dr. Bharatesh Chakravarthi']
dsai,7,DS399,Mini Project II,0-0-0-8-2,['Dr. Shirshendu Layek']
dsai,7,MOOC / SWAYAM Course,MOOC / SWAYAM Course,0-0-0-8-2,['Dr. Siddharth R']
ece,1,Statistics,Statistics,3-1-0-0-2,['Dr. Ramesh Athe']
ece,1,Open elective I,(Cyber/Quantum/Personal Finance/Intro to Design),3-1-0-0-0,"['(Srinivas', 'RaviShankar', 'Siddharth R', 'Sandesh)']"
ece,1,Economics,Economics,3-0-0-0-3,['Dr. Anushree']
ece,1,Problem Solving through Programming,Problem Solving through Programming,3-0-2-0-4,['Dr. Suvadip Hazra']
ece,1,Introduction to DS and AI,Introduction to DSAI,3-1-0-0-2,['Dr. Siddharth']
ece,3,MA202,Linear Algebra,3-1-0-0-4,['Dr. Lakshman']
ece,3,EC207,Electromagnetic Theory,3-1-0-0-4,['Dr. Somen Bhattacharjee']
ece,3,EC206,Linear Integrated Circuits,3-0-2-0-4,['Dr. Prakash Pawar']
ece,3,EC201,Signals and Systems,3-1-0-0-4,['Dr. Sibasanakar Padhy']
ece,3,EC202,Microprocessors and Micro-controllers,3-0-2-0-4,['Dr. Natraj']
ece,3,HS102,Professional Communication,2-1-0-0-3,['Dr. Chandrika Kamath']
ece,5,EC306,Digital Signal Processing,3-0-2-0-4,['Dr.Rajeeb']
ece,5,EC301,Introduction to VLSI Design,3-1-0-0-4,['Dr. Jagadish D N']
ece,5,LSB,Happiness and Wellbeing (Life Skill Basket),3-0-0-0-3,['Dr. Chandrika Kamath']
ece,5,Int2Alg,Introduction to Algorithms (Elective 1),3-1-0-0-4,['Dr. Deepak']
ece,5,ADCS,Advanced Digital Communication System (Elective 2),3-1-0-0-4,['Dr. Chinmayananda']
ece,5,Elective 3,Internet of Things (Elective 3),3-1-0-0-4,['Dr. Prakash Pawar']
ece,7,NEW1,Generative AI,3-1-0-0-4,['Dr. Natraj & Dr. Chinmayananda']
ece,7,NEW2,Energy Efficient Neural Networks,3-1-0-0-4,['Dr. Jagdish D N']
ece,7,NEW3,Image Processing and Computer Vision,3-1-0-0-4,['Dr. Sibasankar Padhy']
ece,7,NEW4,Antennas & Radar Systems,3-1-0-0-4,['Dr. Somen Bhattacharjee']
