Course Code,Course Name,L-T-P-S-C,Faculty
DS301,Graphs and Social Networks,3-1-0-0-4,Dr. Utkarsh Khaire
DS302,Computer Communication Networks,3-1-2-0-5,Dr. Shirshendu Layek
DS303,Algorithms and Artificial Intelligence,3-1-0-0-4,Dr. Animesh Chaturvedi
CS307,Machine Learning,3-0-2-0-4,Dr. Sunil Saumya
DS304,Visualization and App Development,2-1-2-0-4,Dr. Siddharth R
