Course Code,Course Name,L-T-P-S-C,Faculty
EC306,Digital Signal Processing,3-0-2-0-4,Dr.Rajeeb
EC301,Introduction to VLSI Design,3-1-0-0-4,Dr. Jagadish D N
LSB,Happiness and Wellbeing (Life Skill Basket),3-0-0-0-3,Dr. Chandrika Kamath
Int2Alg,Introduction to Algorithms (Elective 1),3-1-0-0-4,Dr. Deepak
ADCS,Advanced Digital Communication System (Elective 2),3-1-0-0-4,Dr. Chinmayananda
Elective 3,Internet of Things (Elective 3),3-1-0-0-4,Dr. Prakash Pawar
