Course Code,Course Name,L-T-P-S-C,Faculty
NEW1,Generative AI,3-1-0-0-4,Dr. Natraj & Dr. Chinmayananda
NEW2,Energy Efficient Neural Networks,3-1-0-0-4,Dr. Jagdish D N
NEW3,Image Processing and Computer Vision,3-1-0-0-4,Dr. Sibasankar Padhy
NEW4,Antennas & Radar Systems,3-1-0-0-4,Dr. Somen Bhattacharjee
