Course Code,Course Name,L-T-P-S-C,Faculty
DS201,Data and Business Analytics,3-0-2-0-4,Dr. Rajib Sharma
CS201,Discrete Mathematics,3-1-0-0-4,Dr. Animesh Roy
CS207,Object Oriented Programming,3-0-2-0-4,Dr. Manjunath KV
CS202,Design & Analysis of Algorithms,3-1-2-0-5,Dr. Sunil Saumya
EC209,Introduction to Systems Thinking,3-1-0-0-4,Dr. Jagadeesha R B
HS205,Ethics,3-0-0-0-3,Guest Faculty
